flight_number,flight_boarding_pt,flight_boarding_time,destination,menu_cycle,itemcategory,Adults,Children,Elders,Middle Aged,Teenagers,C,F,M,Africa,Americas,Asia,China,Europe,Germany,Gulf,India,Indonesia,Iran,Italy,Japan,Mauritus,Northern Africa,Oceania,Thailand,null,asian / japanese,continental / european,indian,middle eastern,year,month,quarter,week,day,dayofweek,Meal,dishsubcategory,pax_count
1,DXB,6/21/2018 7:45,LHR,C,Lunch,20,3,24,34,2,3,35,59,2,1,4,5,26,1,1,1,2,,,,,,40,,,0,0,0,0,2018,6,2,25,21,3,1,Poultry,97
1,DXB,6/21/2018 7:45,LHR,C,Lunch,20,3,24,34,2,3,35,59,2,1,4,5,26,1,1,1,2,,,,,,40,,,0,0,0,0,2018,6,2,25,21,3,1,Red Meat,97
1,DXB,6/21/2018 7:45,LHR,C,Lunch,20,3,24,34,2,3,35,59,2,1,4,5,26,1,1,1,2,,,,,,40,,,0,0,0,0,2018,6,2,25,21,3,1,Seafood,97
1,DXB,6/22/2018 7:45,LHR,C,Lunch,15,5,12,59,6,8,39,69,2,6,7,,37,3,3,5,1,,3,,,1,29,,,0,0,0,0,2018,6,2,25,22,4,1,Poultry,116
1,DXB,6/22/2018 7:45,LHR,C,Lunch,15,5,12,59,6,8,39,69,2,6,7,,37,3,3,5,1,,3,,,1,29,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,116
1,DXB,6/22/2018 7:45,LHR,C,Lunch,15,5,12,59,6,8,39,69,2,6,7,,37,3,3,5,1,,3,,,1,29,,,0,0,0,0,2018,6,2,25,22,4,1,Seafood,116
1,DXB,6/23/2018 7:45,LHR,C,Lunch,15,6,11,53,1,6,41,56,3,2,11,7,38,1,5,1,3,,1,,,,14,,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,103
1,DXB,6/23/2018 7:45,LHR,C,Lunch,15,6,11,53,1,6,41,56,3,2,11,7,38,1,5,1,3,,1,,,,14,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,103
1,DXB,6/23/2018 7:45,LHR,C,Lunch,15,6,11,53,1,6,41,56,3,2,11,7,38,1,5,1,3,,1,,,,14,,,0,0,0,0,2018,6,2,25,23,5,1,Seafood,103
1,DXB,6/24/2018 7:45,LHR,C,Lunch,34,1,10,52,,,31,71,13,3,15,1,21,,1,4,3,,1,3,,6,19,2,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,101
1,DXB,6/24/2018 7:45,LHR,C,Lunch,34,1,10,52,,,31,71,13,3,15,1,21,,1,4,3,,1,3,,6,19,2,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,101
1,DXB,6/24/2018 7:45,LHR,C,Lunch,34,1,10,52,,,31,71,13,3,15,1,21,,1,4,3,,1,3,,6,19,2,,0,0,0,0,2018,6,2,25,24,6,1,Seafood,101
1,DXB,6/25/2018 7:45,LHR,C,Lunch,19,4,18,38,3,4,35,52,9,1,9,3,13,,2,8,,,6,1,,,28,2,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,91
1,DXB,6/25/2018 7:45,LHR,C,Lunch,19,4,18,38,3,4,35,52,9,1,9,3,13,,2,8,,,6,1,,,28,2,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,91
1,DXB,6/25/2018 7:45,LHR,C,Lunch,19,4,18,38,3,4,35,52,9,1,9,3,13,,2,8,,,6,1,,,28,2,,0,0,0,0,2018,6,2,26,25,0,1,Seafood,91
1,DXB,6/26/2018 7:45,LHR,C,Lunch,24,4,12,39,1,4,31,50,8,1,10,,22,1,4,3,,,,1,1,,29,,,0,0,0,0,2018,6,2,26,26,1,1,Poultry,85
1,DXB,6/26/2018 7:45,LHR,C,Lunch,24,4,12,39,1,4,31,50,8,1,10,,22,1,4,3,,,,1,1,,29,,,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,85
1,DXB,6/26/2018 7:45,LHR,C,Lunch,24,4,12,39,1,4,31,50,8,1,10,,22,1,4,3,,,,1,1,,29,,,0,0,0,0,2018,6,2,26,26,1,1,Seafood,85
1,DXB,6/27/2018 7:45,LHR,C,Lunch,11,,15,17,1,3,27,38,3,3,,7,16,,2,,,,,,,,10,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,68
