datetime,m38,m58,m78,m103,m122,RPM_0P,nodd_0P,nodd_3C,nodd_3S,pitch_d_0P,pitch_q_0P,pitch_d_3C,pitch_d_3S,yaw_0P,yaw_3C,yaw_3S,P_el,V_estim,pitch_col_0P,ShearTypeClass
6/17/2015 10:30,4.4717,4.6109,4.8745,5.0853,5.4753,8.1277,-86.911,78.83,-33.654,-6.38E-05,-0.00032702,-0.00029423,-9.51E-06,-27.937,30.373,-19.656,176.25,4.6767,0.20502,0
6/17/2015 10:32,4.4569,4.6785,4.6491,5.009,5.3769,8.0066,-64.313,64.517,-4.8061,-0.00011037,-0.00048024,-2.33E-05,5.83E-05,35.079,84.534,47.685,137.67,4.3312,0.30504,0
6/17/2015 10:34,4.5101,4.8701,4.7262,5.0403,5.2448,8.0077,-33.829,63.639,14.092,-0.00013743,-0.00034162,-3.74E-05,1.47E-05,43.103,55.068,22.487,156.08,4.407,0.32552,0
6/17/2015 10:36,4.4407,4.6644,4.8234,5.0289,5.0884,8.0051,8.6289,52.397,32.028,-0.0020276,-0.00050193,-0.00016408,-0.00035928,11.489,4.9774,-14.638,139.1,4.3555,0.25064,0
6/17/2015 10:38,4.1184,4.272,4.3862,4.7237,4.9073,8.0064,73.736,26.205,29.237,-0.0022284,-0.00066624,-3.12E-05,-0.00041834,67.425,-4.0671,-6.4312,127.65,4.2269,0.25935,0
6/17/2015 10:40,3.8448,4.0974,4.2816,4.703,4.9026,8.0054,17.22,12.93,-16.091,-0.00033513,-0.00020188,7.30E-05,-0.00012182,84.942,-18.15,-18.065,138.25,4.3209,0.19797,0
6/17/2015 10:42,3.7246,4.2383,4.6183,4.8603,5.0177,8.0064,-2.8592,-2.6785,-17.249,-0.003015,-0.0009545,-0.00014911,-0.00023932,57.553,-6.3125,-37.325,112.96,4.1147,0.48789,0
6/17/2015 10:44,3.2857,4.0765,4.6744,4.7863,5.0209,8.0059,-11.612,-0.61172,-3.5967,-0.0031432,-0.00096895,-0.00031041,-0.0001876,75.838,32.754,-62.948,93.743,3.9689,0.69377,0
6/17/2015 10:46,2.8748,3.4277,3.8998,4.3279,4.8027,8.0054,-17.416,32.654,-20.083,-0.0017504,-0.00052211,-0.0005923,7.19E-05,102.01,-2.0249,-89.287,77.127,3.8072,1.1,0
6/17/2015 10:48,3.3157,3.5589,3.9293,4.3642,4.7596,8.0568,24.518,120.15,-23.758,-0.0029031,-0.0009492,-0.0009398,0.00018762,55.849,-68.76,-52.614,98.603,3.822,1.1043,0
6/17/2015 10:50,3.4615,3.7247,4.0881,4.5266,4.8882,8.1968,25.126,152.26,24.712,-0.0029948,-0.0010994,-0.00075768,-0.00019328,24.448,-73.728,-79.524,127.77,4.0197,0.82683,0
6/17/2015 10:52,3.5145,3.7818,4.1668,4.5966,4.9258,8.3755,-18.673,168.34,53.03,-0.0032739,-0.0014047,-0.00052964,-0.00024198,-0.49102,-88.488,-88.524,159.3,4.1593,0.77923,0
6/17/2015 10:54,3.5438,3.8024,4.2117,4.6338,4.9342,8.6986,-48.712,158.9,63.811,-0.0034591,-0.0015238,-0.00057361,-0.00030889,-7.5428,-89.356,-97.466,218.55,4.404,0.74411,0
6/17/2015 10:56,3.5596,3.8116,4.2346,4.6473,4.9344,9.2376,-97.889,158.75,57.69,-0.0031883,-0.0016625,-0.00069802,-0.00012286,-20.888,-62.069,-101.18,318.55,4.8113,0.68579,0
6/17/2015 10:58,3.5653,3.815,4.2429,4.6513,4.9341,9.1149,-82.242,154.52,62.885,-0.003202,-0.0018671,-0.00052066,-0.00013648,-16.429,-62.092,-97.964,294.53,4.7171,0.69909,0
6/17/2015 11:00,6.9887,7.6795,8.1621,9.0836,9.619,10.779,-250.69,183.02,31.698,-0.001889,-0.0010811,-0.0004286,0.00041362,-63.626,8.5832,-118.42,607.61,5.9787,0.5192,0
6/17/2015 11:02,6.9887,7.6795,8.1621,9.0836,9.619,11.704,-345.04,200.7,14.267,-0.0011647,-0.00061578,-0.00037249,0.00055908,-89.016,46.379,-129.22,781.76,6.6802,0.41929,0
6/17/2015 11:04,6.5543,7.4032,7.922,8.8798,9.7595,13.523,-487.32,-2.714,-10.873,-4.33E-05,5.32E-05,-5.82E-05,-0.00015995,-34.48,-21.471,-28.591,1105.7,8.1789,0.21918,0
6/17/2015 11:06,6.3188,7.3061,7.872,8.7691,9.7045,13.628,-536.29,51.093,13.502,1.41E-05,8.13E-05,-3.37E-05,-4.44E-05,-45.963,6.674,-54.043,1135.7,8.223,0.21898,0
6/17/2015 11:08,6.3583,6.9839,7.6188,8.6566,9.6204,13.474,-659.96,86.735,29.804,-2.13E-05,-3.22E-05,-1.27E-05,1.52E-07,-40.036,13.935,-67.969,1104.7,8.1035,0.22963,0
6/17/2015 11:10,6.5605,7.0413,7.8462,8.977,9.7548,13.394,-689.99,24.502,74.218,-0.00016673,-2.71E-05,-7.85E-05,-0.00013699,-35.471,14.449,-23.767,1080.3,8.0723,0.25252,2
6/17/2015 11:12,6.6731,7.3002,8.0262,9.1079,9.7501,13.472,-639.96,-31.749,52.164,-0.00018032,8.66E-05,-7.71E-05,-8.23E-05,-10.86,16.413,3.1322,1099.5,8.1115,0.24906,0
6/17/2015 11:14,6.5404,7.2262,8.0781,9.1142,9.8323,13.173,-593.96,-40.159,-74.053,-0.00019286,-4.26E-05,-3.43E-05,-8.94E-06,30.323,-35.887,-12.142,1032.9,7.9074,0.20677,0
6/17/2015 11:16,6.59,7.3422,8.2721,9.2007,9.9088,12.596,-606.26,-1.0206,-141.84,-0.00031572,-0.00015482,-4.99E-05,-0.00015883,-14.382,-94.199,-40.649,899.67,7.5755,0.16785,0
6/17/2015 11:18,6.7575,7.5988,8.1554,9.0433,9.8646,12.158,-658.84,7.5079,-129.57,-0.00021945,-4.96E-05,7.45E-06,4.92E-05,-44.021,-121.45,-38.802,804.79,7.3125,0.16698,0
6/17/2015 11:20,6.8286,7.4399,7.8095,8.8759,9.7841,11.872,-668.68,-57.055,-39.327,-9.24E-05,-9.15E-06,0.00010555,0.00017468,33.067,-63.218,-7.8648,747.48,7.1481,0.18354,2
6/17/2015 11:22,6.2566,6.9801,7.4805,8.6711,9.6005,11.583,-691.93,-93.391,13.598,2.67E-05,4.09E-05,5.54E-05,-4.49E-06,74.756,-8.4522,41.401,690.27,6.9855,0.18281,2
6/17/2015 11:24,5.8412,6.5433,7.2522,8.3522,9.5065,11.678,-738.67,-41.551,33.429,9.36E-05,0.00010634,5.94E-05,-7.03E-05,28.725,-19.167,18.108,705.95,7.0496,0.18276,0
6/17/2015 11:26,5.6846,6.256,6.9928,8.3102,9.2579,11.828,-734.2,11.77,62.644,-0.00074877,-0.0003584,-9.59E-05,-0.00017359,45.439,18.308,-39.521,733.77,7.1383,0.17133,2
6/17/2015 11:28,5.2823,5.9974,6.8472,8.2972,9.0161,11.741,-727.24,77.744,71.51,-0.0010847,-0.00047137,-0.00029386,-0.00015347,89.709,69.543,-75.517,719.58,7.0754,0.14645,2
6/17/2015 11:30,4.9456,5.7709,6.7857,8.0569,9.0429,11.54,-704.68,103.35,50.275,-0.00070916,-0.00019913,-0.00021561,-4.55E-05,53.618,37.319,-97.205,684.04,6.9447,0.14819,0
6/17/2015 11:32,4.6783,5.6408,6.5847,7.8371,8.981,11.271,-626.89,87.307,47.266,-0.00040812,-0.00011219,-0.00012057,-3.11E-05,7.3902,3.6197,-62.417,635.15,6.7903,0.16126,0
6/17/2015 11:34,4.7236,5.5306,6.4274,7.7441,8.758,11.117,-596.59,67.213,49.664,-0.00087417,-0.00038197,-0.00032607,-0.00014644,6.407,22.407,-44.9,609.42,6.6918,0.14628,2
6/17/2015 11:36,4.708,5.4806,6.4282,7.664,8.6468,10.822,-577.08,47.414,6.1187,-0.0011982,-0.00052116,-0.00037682,-0.0002859,7.4172,12.275,-25.199,563.05,6.5078,0.14334,0
6/17/2015 11:38,4.5359,5.366,6.3391,7.5117,8.5779,10.472,-526.83,75.196,-23.012,-0.00038409,-0.00023708,-0.00013158,-0.00022331,-3.3682,5.214,-3.4948,505.62,6.3103,0.19234,0
6/17/2015 11:40,4.4893,5.4185,6.512,7.5638,8.5441,10.336,-513.85,48.423,-31.516,-0.00084773,-0.00043519,-0.00031715,-8.92E-05,-15.097,10.074,-32.535,484.84,6.2306,0.1941,0
6/17/2015 11:42,4.4655,5.4672,6.5116,7.4975,8.6034,10.375,-522.42,6.3935,9.16,-0.0012904,-0.00061272,-0.00036359,1.88E-05,-3.1142,15.855,-44.454,488.04,6.2614,0.19998,0
6/17/2015 11:44,4.4214,5.2226,6.2785,7.3652,8.5259,10.511,-506.22,-1.8315,36.571,-0.0009278,-0.00033611,-0.00033854,-2.35E-06,28.858,10.263,-32.795,507.39,6.3463,0.20965,0
6/17/2015 11:46,4.3557,5.3518,6.3047,7.5348,8.6188,10.407,-499.89,29.56,60.046,-0.00056075,-0.00011462,-0.00028207,-8.99E-05,39.948,19.34,-66.63,495.56,6.2711,0.14426,0
6/17/2015 11:48,4.1968,5.3281,6.2147,7.6563,8.5928,10.559,-520.77,107.96,89.746,-0.00095996,-0.00035143,-9.04E-05,-5.31E-05,32.829,29.785,-83.912,514.07,6.3878,0.20544,0
6/17/2015 11:50,4.0642,5.088,6.2316,7.7459,8.4646,10.891,-542.98,104.39,72.486,-0.0012777,-0.00047925,-0.00028555,-5.94E-05,15.26,32.513,-80.437,561.92,6.6036,0.25857,0
6/17/2015 11:52,4.3912,5.4061,6.4832,7.9102,8.6884,11.155,-556.97,95.257,71.802,-0.00037037,-0.00015435,-0.00018454,-0.00010205,6.0277,57.558,-106.28,610.88,6.741,0.22091,0
6/17/2015 11:54,4.8568,5.8174,6.6905,7.9031,8.62,11.259,-563,169.7,64.708,5.07E-05,1.26E-05,5.64E-05,-0.00010605,4.5927,57.777,-111.05,632.6,6.7818,0.22293,0
6/17/2015 11:56,4.8712,6.0729,6.8695,7.7516,8.3831,11.067,-551.43,189.7,37.343,-4.19E-05,3.13E-05,4.49E-05,5.65E-06,9.3972,50.031,-87.005,599.12,6.6689,0.22238,0
6/17/2015 11:58,5.0338,6.3232,7.0825,7.8406,8.4277,10.869,-518.23,69.656,51.799,-0.00010819,6.45E-05,-6.73E-07,0.00010064,6.6922,31.095,-49.117,568.96,6.5418,0.22125,0
6/17/2015 12:00,5.3306,6.3266,7.0654,7.8617,8.5375,10.619,-505.88,10.936,66.295,-0.00043768,-0.00017334,-0.00016677,8.80E-05,17.396,30.792,-30.303,528.36,6.3993,0.24566,0
6/17/2015 12:02,5.3526,6.1031,6.8646,7.8639,8.5956,11.065,-510.34,66.263,78.665,-0.00045681,-0.0002359,-0.00014251,1.08E-05,53.293,54.242,-43.986,592.57,6.7298,0.32178,0
6/17/2015 12:04,5.2769,6.0117,6.783,7.8801,8.5022,12.257,-560.76,126.71,134.56,-0.0002837,-0.00010606,6.06E-05,-0.00012046,64.077,91.502,-86.108,814.17,7.4551,0.33805,0
6/17/2015 12:06,5.5859,6.4049,7.2256,8.1,8.5968,13.001,-643.84,158.66,161.64,-0.00027067,-7.61E-05,0.00010116,-0.00010469,43.128,113.7,-112.02,977.5,7.8723,0.29925,0
6/17/2015 12:08,5.8847,6.8227,7.7978,8.5428,8.9175,13.271,-701.79,217.13,128.26,-0.00021006,0.00017375,8.83E-05,-0.00013759,-49.637,128.46,-146.89,1043.7,8.0203,0.29474,0
6/17/2015 12:10,5.9317,6.9469,7.9233,8.6317,8.9631,13.255,-666.55,235.82,106.03,-9.21E-06,0.00010019,8.42E-05,-0.00046047,-75.414,102.31,-159.48,1046.7,7.9904,0.28849,0
6/17/2015 12:12,5.9679,6.9874,7.9466,8.6694,8.9978,13.264,-633.75,252.06,88.484,-3.83E-05,-9.26E-06,-7.97E-06,-0.0002156,-79.338,92.81,-130.71,1049.5,7.9919,0.28887,0
6/17/2015 12:14,5.9819,6.9925,7.9457,8.6776,9.0084,13.19,-618.38,248.26,94.558,-2.13E-05,6.23E-05,-2.75E-05,-9.57E-05,-82.25,60.498,-111.5,1037.1,7.9352,0.28194,0
6/17/2015 12:16,5.9928,6.9899,7.9448,8.6889,9.0183,12.825,-582.13,222.24,116.1,-0.00032775,-3.54E-05,0.00027138,-0.00058034,-71.973,70.281,-69.537,966.84,7.7083,0.24699,0
6/17/2015 12:18,5.9967,6.99,7.9451,8.6913,9.0204,12.511,-557.98,206.15,130.8,-0.00037515,-0.00023946,0.00042913,-0.0010096,-64.619,78.536,-40.711,904.7,7.5122,0.2167,0
6/17/2015 12:20,5.9967,6.99,7.9451,8.6913,9.0204,12.652,-564.83,208.43,126.45,-0.00024566,-0.00036371,0.00044881,-0.0006827,-64.716,79.868,-47.551,933.04,7.6024,0.2301,0
6/17/2015 12:22,4.4353,5.88,6.7579,7.401,8.0515,11.954,-522.48,179.38,149.29,-0.00030472,-0.00016338,0.00059682,-0.0011829,-55.401,82.661,2.2988,793.68,7.1588,0.16298,0
6/17/2015 12:24,4.9512,6.1047,6.9329,7.6223,8.2485,11.762,-493.38,82.446,126.75,-0.0012851,-0.00060656,-7.74E-05,-0.00030201,1.8605,51.868,-69.19,716.3,7.1163,0.23544,0
6/17/2015 12:26,5.1081,6.0327,6.9534,7.8539,8.4006,11.674,-486.96,125.25,76.784,-0.001252,-0.00058667,-8.16E-06,-0.00042873,-10.868,46.16,-112.92,703.25,7.0481,0.20808,0
6/17/2015 12:28,5.1924,6.0246,7.2847,8.1889,8.6713,11.771,-539.96,175.06,79.586,-0.0013119,-0.00041384,-0.00016064,-0.00041954,-4.047,74.088,-123.52,717.74,7.1348,0.23968,0
6/17/2015 12:30,5.2796,6.2614,7.285,8.2932,8.54,12.352,-596.93,140.71,156.01,-0.00125,-0.00034916,-0.00016503,-0.00023076,28.309,117.64,-91.68,836.04,7.4762,0.23613,0
6/17/2015 12:32,6.006,7.0173,7.6924,8.5905,9.1158,13.041,-505.51,199.77,220.48,-0.014426,0.0043165,-0.00021544,0.00022996,64.634,178.86,-137.52,995.42,7.883,0.30334,0
6/17/2015 12:34,5.7016,6.8932,7.5577,8.4554,8.7558,13.053,-429.27,199.79,245.13,-0.063114,0.018967,-0.0031029,0.0079818,37.387,198.13,-113.03,999.67,7.8684,0.26878,0
6/17/2015 12:36,5.5046,6.8416,7.5232,8.2066,8.7556,13.466,-340.43,91.786,245.66,-0.051695,0.015165,-0.0031555,0.0076521,-23.982,177.78,-41.56,1091.4,8.1088,0.19474,0
6/17/2015 12:38,6.1055,7.0495,7.8686,8.672,9.584,13.48,-411.61,31.478,264.45,-0.0031615,0.00052151,-0.00044032,-9.30E-05,-27.015,149.67,-19.61,1092.6,8.138,0.17087,0
6/17/2015 12:40,6.4645,7.2195,8.1347,9.1147,9.9097,13.833,-505.41,104.01,333.83,0.00048651,-9.18E-05,-0.00017544,0.00017163,-94.545,216.68,-17.875,1183.3,8.3628,0.23682,0
6/17/2015 12:42,6.4547,7.327,8.152,9.1458,9.9439,13.823,-549.41,128.13,338.68,0.00066677,-0.00013766,3.63E-05,0.00012546,-80.077,180.25,-18.444,1176.5,8.3916,0.22793,0
6/17/2015 12:44,6.4541,7.3647,8.1933,9.1515,9.9386,13.959,-549.17,153.26,336.9,0.0030529,-0.00016264,-0.00024589,0.00090608,-44.529,223.3,-19.965,1209,8.5284,0.25186,0
6/17/2015 12:46,6.4678,7.3635,8.1859,9.1198,9.9212,14.053,-598.74,150.32,375.86,0.0027547,-0.00012921,-0.00041379,0.001024,-55.518,203.01,-46.973,1231.4,8.598,0.25114,0
6/17/2015 12:48,6.4697,7.3626,8.181,9.1083,9.9231,14.118,-640.74,84.321,357.63,0.0051894,-0.00038863,-0.00082289,0.0019709,-32.107,161.48,-67.266,1254.7,8.6512,0.2766,0
6/17/2015 12:50,6.4724,7.3605,8.1817,9.1025,9.9272,14.186,-735.2,92.974,345.41,0.017206,-0.0014627,-0.0029197,0.0057126,-4.0481,166.12,-99.868,1317.4,8.7534,0.39842,0
6/17/2015 12:52,6.4741,7.3593,8.1824,9.1016,9.929,14.188,-715.02,83.944,313.29,0.015005,-0.0015426,-0.0028814,0.0059066,-12.767,146.59,-118.78,1309.6,8.7374,0.37543,0
6/17/2015 12:54,6.4741,7.3593,8.1824,9.1016,9.929,14.208,-749.08,101.13,322.41,0.020065,-0.0019313,-0.003935,0.0076516,3.5639,167.8,-123.69,1334.6,8.7792,0.42721,0
6/17/2015 12:56,6.6919,7.9856,9.1057,10.417,10.812,14.316,-1055.6,101.94,349.68,0.010155,-0.0035326,-0.00060159,0.0035588,-11.108,182.6,-38.869,1419.8,8.8734,0.59887,0
6/17/2015 12:58,6.7259,7.9475,9.0188,10.372,10.67,14.318,-1052.7,123.73,345.09,0.011722,-0.0025227,-0.0021512,0.0043527,45.823,204.57,-45.949,1433.8,8.905,0.62999,0
6/17/2015 13:00,6.215,7.6722,8.6097,9.5903,9.9693,13.93,-951.21,70.299,319.61,0.010847,-0.0046737,-0.0012855,0.0028344,116.3,188.45,-15.942,1216.7,8.3927,0.22167,0
6/17/2015 13:02,6.1631,7.4622,8.309,9.317,9.4472,13.808,-845.79,74.044,251.63,-0.00059842,-9.44E-05,-0.00013638,3.17E-06,112.51,162.98,-45.481,1184,8.297,0.17496,0
6/17/2015 13:04,6.4329,7.2638,7.9769,8.3289,9.2418,13.12,-516.11,26.298,164.05,-0.00080179,-0.00033847,0.00020485,-0.00014947,115.36,104.42,-1.6721,1009.2,7.9011,0.21784,0
6/17/2015 13:06,6.3164,7.2561,7.7588,8.5846,9.3511,13.094,-603.96,-52.499,159.17,-0.00073261,-0.00032434,3.68E-05,-0.00033417,139.86,65.465,36.028,1004.4,7.8732,0.18615,0
6/17/2015 13:08,6.2734,7.0635,7.8089,8.8131,9.5988,13.149,-711.5,-5.2852,161.08,-0.0007446,-0.00024352,-0.00015616,-0.00017532,138.38,72.217,-10.151,1010,7.9403,0.21636,0
6/17/2015 13:10,6.3044,6.954,8.0167,9.0066,9.9044,13.324,-762.19,64.589,207.89,-0.00071178,-8.61E-05,-0.00021564,0.00017109,119.16,129.22,-48.257,1052.2,8.0519,0.20812,0
6/17/2015 13:12,6.2881,7.0977,8.2833,9.1826,9.8278,13.568,-752.82,178.01,300.65,-0.00058448,7.36E-05,-0.00012614,0.00020143,108.29,218.79,-74.16,1116,8.1721,0.14607,0
