meals_future_data_june_18_24_25.flight_number,meals_future_data_june_18_24_25.flight_boarding_pt,meals_future_data_june_18_24_25.flight_boarding_time,meals_future_data_june_18_24_25.destination,meals_future_data_june_18_24_25.menu_cycle,meals_future_data_june_18_24_25.itemcategory,meals_future_data_june_18_24_25.adults,meals_future_data_june_18_24_25.children,meals_future_data_june_18_24_25.elders,meals_future_data_june_18_24_25.middle aged,meals_future_data_june_18_24_25.teenagers,meals_future_data_june_18_24_25.unknown,meals_future_data_june_18_24_25.c,meals_future_data_june_18_24_25.f,meals_future_data_june_18_24_25.m,meals_future_data_june_18_24_25.unknown column,meals_future_data_june_18_24_25.africa,meals_future_data_june_18_24_25.americas,meals_future_data_june_18_24_25.asia,meals_future_data_june_18_24_25.europe,meals_future_data_june_18_24_25.oceania,meals_future_data_june_18_24_25.unknown country region,meals_future_data_june_18_24_25.unknown cuisine,meals_future_data_june_18_24_25.asian,meals_future_data_june_18_24_25.asian / japanese,meals_future_data_june_18_24_25.continental / european,meals_future_data_june_18_24_25.indian,meals_future_data_june_18_24_25.middle eastern,meals_future_data_june_18_24_25.middle eastern / gulf,meals_future_data_june_18_24_25.flight_boarding_time_conv,meals_future_data_june_18_24_25.year,meals_future_data_june_18_24_25.month,meals_future_data_june_18_24_25.quarter,meals_future_data_june_18_24_25.week,meals_future_data_june_18_24_25.day,meals_future_data_june_18_24_25.meal,meals_future_data_june_18_24_25.dishsubcategory,meals_future_data_june_18_24_25.pax_count
73,DXB,2.01806E+11,BCD,C,Lunch,17,6,21,42,1,5,6,26,60,,5,5,19,26,29,8,1,0,0,0,0,0,0,20:00.0,2018,6,2,26,26,1,Seafood,92
73,DXB,2.01806E+11,BCD,C,Lunch,17,6,21,42,1,5,6,26,60,,5,5,19,26,29,8,1,0,0,0,0,0,0,20:00.0,2018,6,2,26,26,1,Poultry,92
73,DXB,2.01806E+11,BCD,C,Lunch,17,6,21,42,1,5,6,26,60,,5,5,19,26,29,8,1,0,0,0,0,0,0,20:00.0,2018,6,2,26,26,1,Red Meat,92
31,DXB,2.01806E+11,BLH,C,Lunch,35,6,7,40,6,8,5,36,61,,2,2,27,52,9,10,1,0,0,0,0,0,0,25:00.0,2018,6,2,25,24,1,Red Meat,101
31,DXB,2.01806E+11,BLH,C,Lunch,35,6,7,40,6,8,5,36,61,,2,2,27,52,9,10,1,0,0,0,0,0,0,25:00.0,2018,6,2,25,24,1,Seafood,101
31,DXB,2.01806E+11,BLH,C,Lunch,35,6,7,40,6,8,5,36,61,,2,2,27,52,9,10,1,0,0,0,0,0,0,25:00.0,2018,6,2,25,24,1,Poultry,101
81,DXB,2.01806E+11,BLY,C,Lunch,1,,1,2,,,,3,1,,,,1,3,,,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,25,1,Seafood,4
81,DXB,2.01806E+11,BLY,C,Lunch,1,,1,2,,,,3,1,,,,1,3,,,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,25,1,Poultry,4
81,DXB,2.01806E+11,BLY,C,Lunch,1,,1,2,,,,3,1,,,,1,3,,,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,25,1,Red Meat,4
81,DXB,2.01806E+11,BLY,C,Lunch,7,2,3,15,3,2,3,10,19,,,,6,20,,6,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,29,1,Poultry,32
81,DXB,2.01806E+11,BLY,C,Lunch,7,2,3,15,3,2,3,10,19,,,,6,20,,6,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,29,1,Seafood,32
81,DXB,2.01806E+11,BLY,C,Lunch,7,2,3,15,3,2,3,10,19,,,,6,20,,6,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,29,1,Red Meat,32
307,PEK,2.01807E+11,KDX,B,Dinner,14,,5,41,3,3,,19,47,,16,1,36,10,,3,0,1,0,0,0,0,0,40:00.0,2018,7,3,26,1,1,Red Meat,66
307,PEK,2.01807E+11,KDX,B,Dinner,14,,5,41,3,3,,19,47,,16,1,36,10,,3,0,0,0,1,0,0,0,40:00.0,2018,7,3,26,1,1,Seafood,66
307,PEK,2.01807E+11,KDX,B,Dinner,14,,5,41,3,3,,19,47,,16,1,36,10,,3,0,0,0,1,0,0,0,40:00.0,2018,7,3,26,1,1,Poultry,66
5,DXB,2.01806E+11,BLH,C,Lunch,22,4,11,50,2,23,4,42,66,,7,5,30,36,7,27,1,0,0,0,0,0,0,45:00.0,2018,6,2,26,27,1,Seafood,111
5,DXB,2.01806E+11,BLH,C,Lunch,22,4,11,50,2,23,4,42,66,,7,5,30,36,7,27,1,0,0,0,0,0,0,45:00.0,2018,6,2,26,27,1,Red Meat,111
5,DXB,2.01806E+11,BLH,C,Lunch,22,4,11,50,2,23,4,42,66,,7,5,30,36,7,27,1,0,0,0,0,0,0,45:00.0,2018,6,2,26,27,1,Poultry,111
74,CDG,2.01806E+11,GDX,C,Lunch,27,2,17,28,,4,1,25,52,,4,5,32,24,9,4,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,27,1,Red Meat,77
74,CDG,2.01806E+11,GDX,C,Lunch,27,2,17,28,,4,1,25,52,,4,5,32,24,9,4,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,27,1,Poultry,77
74,CDG,2.01806E+11,GDX,C,Lunch,27,2,17,28,,4,1,25,52,,4,5,32,24,9,4,0,0,0,1,0,0,0,35:00.0,2018,6,2,26,27,1,Seafood,77
50,MUC,2.01806E+11,CDX,C,Lunch,11,3,2,17,,2,3,7,25,,,,12,18,3,2,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,25,1,Seafood,35
50,MUC,2.01806E+11,CDX,C,Lunch,11,3,2,17,,2,3,7,25,,,,12,18,3,2,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,25,1,Red Meat,35
50,MUC,2.01806E+11,CDX,C,Lunch,11,3,2,17,,2,3,7,25,,,,12,18,3,2,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,25,1,Poultry,35
307,PEK,2.01806E+11,KDX,A,Dinner,18,,11,43,,10,,13,69,,15,2,34,21,,10,0,0,0,0,0,1,0,40:00.0,2018,6,2,26,29,1,Poultry,82
307,PEK,2.01806E+11,KDX,A,Dinner,18,,11,43,,10,,13,69,,15,2,34,21,,10,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,29,1,Seafood,82
307,PEK,2.01806E+11,KDX,A,Dinner,18,,11,43,,10,,13,69,,15,2,34,21,,10,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,29,1,Red Meat,82
46,FRA,2.01806E+11,ADX,C,Lunch,14,,6,13,,1,,6,28,,3,2,12,12,4,1,1,0,0,0,0,0,0,15:00.0,2018,6,2,26,29,1,Poultry,34
46,FRA,2.01806E+11,ADX,C,Lunch,14,,6,13,,1,,6,28,,3,2,12,12,4,1,0,0,0,1,0,0,0,15:00.0,2018,6,2,26,29,1,Red Meat,34
46,FRA,2.01806E+11,ADX,C,Lunch,14,,6,13,,1,,6,28,,3,2,12,12,4,1,1,0,0,0,0,0,0,15:00.0,2018,6,2,26,29,1,Seafood,34
201,DXB,2.01806E+11,BJF,C,Lunch,18,10,7,19,3,1,10,21,27,,7,10,17,4,,20,1,0,0,0,0,0,0,30:00.0,2018,6,2,26,30,1,Red Meat,57
201,DXB,2.01806E+11,BJF,C,Lunch,18,10,7,19,3,1,10,21,27,,7,10,17,4,,20,0,0,0,1,0,0,0,30:00.0,2018,6,2,26,30,1,Poultry,57
201,DXB,2.01806E+11,BJF,C,Lunch,18,10,7,19,3,1,10,21,27,,7,10,17,4,,20,1,0,0,0,0,0,0,30:00.0,2018,6,2,26,30,1,Pasta or Vegetarian,57
73,DXB,2.01806E+11,BCD,C,Lunch,26,4,15,36,4,12,4,26,67,,4,4,20,29,27,13,1,0,0,0,0,0,0,20:00.0,2018,6,2,26,27,1,Poultry,97
73,DXB,2.01806E+11,BCD,C,Lunch,26,4,15,36,4,12,4,26,67,,4,4,20,29,27,13,1,0,0,0,0,0,0,20:00.0,2018,6,2,26,27,1,Red Meat,97
73,DXB,2.01806E+11,BCD,C,Lunch,26,4,15,36,4,12,4,26,67,,4,4,20,29,27,13,1,0,0,0,0,0,0,20:00.0,2018,6,2,26,27,1,Seafood,97
