flight_number,flight_boarding_pt,flight_boarding_time,destination,menu_cycle,itemcategory,adults,children,elders,middle aged,teenagers,c,f,m,africa,americas,asia,europe,oceania,asian,asian / japanese,continental / european,indian,middle eastern,middle eastern / gulf,year,month,quarter,week,day,dayofweek,meal,dishsubcategory,pax_count
1,DXB,45:00.0,LHR,C ,Lunch,34,1,10,52,,,31,71,19,3,29,22,19,0,0,0,0,0,0,2018,6,2,25,24,6,1,Poultry,101
1,DXB,45:00.0,LHR,C ,Lunch,34,1,10,52,,,31,71,19,3,29,22,19,0,0,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,101
1,DXB,45:00.0,LHR,C ,Lunch,34,1,10,52,,,31,71,19,3,29,22,19,0,0,0,0,0,0,2018,6,2,25,24,6,1,Seafood,101
1,DXB,45:00.0,LHR,C ,Lunch,19,4,18,38,3,4,35,52,9,1,25,19,28,0,0,0,0,0,0,2018,6,2,26,25,0,1,Poultry,91
1,DXB,45:00.0,LHR,C ,Lunch,19,4,18,38,3,4,35,52,9,1,25,19,28,0,0,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,91
1,DXB,45:00.0,LHR,C ,Lunch,19,4,18,38,3,4,35,52,9,1,25,19,28,0,0,0,0,0,0,2018,6,2,26,25,0,1,Seafood,91
1,DXB,45:00.0,LHR,C ,Lunch,25,4,12,39,1,4,32,50,9,1,19,25,27,0,0,0,0,0,0,2018,6,2,26,26,1,1,Poultry,86
1,DXB,45:00.0,LHR,C ,Lunch,25,4,12,39,1,4,32,50,9,1,19,25,27,0,0,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,86
1,DXB,45:00.0,LHR,C ,Lunch,25,4,12,39,1,4,32,50,9,1,19,25,27,0,0,0,0,0,0,2018,6,2,26,26,1,1,Seafood,86
1,DXB,45:00.0,LHR,C ,Lunch,26,4,26,32,1,3,37,65,13,3,16,38,18,0,0,0,0,0,0,2018,6,2,26,27,2,1,Poultry,103
1,DXB,45:00.0,LHR,C ,Lunch,26,4,26,32,1,3,37,65,13,3,16,38,18,0,0,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,103
1,DXB,45:00.0,LHR,C ,Lunch,26,4,26,32,1,3,37,65,13,3,16,38,18,0,0,0,0,0,0,2018,6,2,26,27,2,1,Seafood,103
1,DXB,45:00.0,LHR,C ,Lunch,13,2,19,41,4,1,39,49,6,3,19,25,25,0,0,0,0,0,0,2018,6,2,26,28,3,1,Poultry,88
1,DXB,45:00.0,LHR,C ,Lunch,13,2,19,41,4,1,39,49,6,3,19,25,25,0,0,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,88
1,DXB,45:00.0,LHR,C ,Lunch,13,2,19,41,4,1,39,49,6,3,19,25,25,0,0,0,0,0,0,2018,6,2,26,28,3,1,Seafood,88
1,DXB,45:00.0,LHR,C ,Lunch,15,10,11,44,6,9,38,53,7,3,18,36,22,0,0,0,0,0,0,2018,6,2,26,29,4,1,Poultry,99
1,DXB,45:00.0,LHR,C ,Lunch,15,10,11,44,6,9,38,53,7,3,18,36,22,0,0,0,0,0,0,2018,6,2,26,29,4,1,Red Meat,99
1,DXB,45:00.0,LHR,C ,Lunch,15,10,11,44,6,9,38,53,7,3,18,36,22,0,0,0,0,0,0,2018,6,2,26,29,4,1,Seafood,99
1,DXB,45:00.0,LHR,C ,Lunch,15,1,15,24,,2,24,50,6,2,9,23,9,0,0,0,0,0,0,2018,6,2,26,30,5,1,Poultry,76
1,DXB,45:00.0,LHR,C ,Lunch,15,1,15,24,,2,24,50,6,2,9,23,9,0,0,0,0,0,0,2018,6,2,26,30,5,1,Red Meat,76
1,DXB,45:00.0,LHR,C ,Lunch,15,1,15,24,,2,24,50,6,2,9,23,9,0,0,0,0,0,0,2018,6,2,26,30,5,1,Seafood,76
2,LHR,20:00.0,DXB,C ,Lunch,27,3,15,38,2,3,32,57,1,4,15,48,16,0,0,0,0,0,0,2018,6,2,25,24,6,1,Poultry,92
2,LHR,20:00.0,DXB,C ,Lunch,27,3,15,38,2,3,32,57,1,4,15,48,16,0,0,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,92
2,LHR,20:00.0,DXB,C ,Lunch,27,3,15,38,2,3,32,57,1,4,15,48,16,0,0,0,0,0,0,2018,6,2,25,24,6,1,Seafood,92
2,LHR,20:00.0,DXB,C ,Lunch,15,3,23,43,1,3,22,66,3,2,33,33,13,0,0,0,0,0,0,2018,6,2,26,25,0,1,Poultry,91
2,LHR,20:00.0,DXB,C ,Lunch,15,3,23,43,1,3,22,66,3,2,33,33,13,0,0,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,91
2,LHR,20:00.0,DXB,C ,Lunch,15,3,23,43,1,3,22,66,3,2,33,33,13,0,0,0,0,0,0,2018,6,2,26,25,0,1,Seafood,91
2,LHR,20:00.0,DXB,C ,Lunch,25,1,14,42,4,,40,55,3,4,40,29,6,0,0,0,0,0,0,2018,6,2,26,26,1,1,Poultry,94
2,LHR,20:00.0,DXB,C ,Lunch,25,1,14,42,4,,40,55,3,4,40,29,6,0,0,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,94
2,LHR,20:00.0,DXB,C ,Lunch,25,1,14,42,4,,40,55,3,4,40,29,6,0,0,0,0,0,0,2018,6,2,26,26,1,1,Seafood,94
2,LHR,20:00.0,DXB,C ,Lunch,19,4,22,30,,3,36,44,2,5,23,25,20,0,0,0,0,0,0,2018,6,2,26,27,2,1,Poultry,82
2,LHR,20:00.0,DXB,C ,Lunch,19,4,22,30,,3,36,44,2,5,23,25,20,0,0,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,82
2,LHR,20:00.0,DXB,C ,Lunch,19,4,22,30,,3,36,44,2,5,23,25,20,0,0,0,0,0,0,2018,6,2,26,27,2,1,Seafood,82
2,LHR,20:00.0,DXB,C ,Lunch,27,3,19,27,,2,33,50,5,,31,27,12,0,0,0,0,0,0,2018,6,2,26,28,3,1,Poultry,84
2,LHR,20:00.0,DXB,C ,Lunch,27,3,19,27,,2,33,50,5,,31,27,12,0,0,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,84
